loan_id,stage,loan_ecl,gross_exposure,current_pd_12m,origination_pd_12m,current_lifetime_pd,origination_lifetime_pd,current_ltv,current_dpd,remaining_months_to_legal_maturity,property_state,origination_date,primary_stage_reason,coverage_ratio,Base_scenario_ecl,Downside_scenario_ecl,Upside_scenario_ecl,average_lgd
RM001951,2,149.71857716587732,173027.36,0.008758881132249614,0.0019576772145078573,0.1576423388560514,0.037491249466887866,42.0,0.0,234,IL,2015-09-01,Absolute lifetime-PD deterioration,0.0008652884559174765,148.31258480422318,162.2920259244575,144.48032252169693,0.020024984929106687
RM003232,2,149.69587678958393,197351.97,0.006054203559635797,0.0014944716296252745,0.11257200171047099,0.028984899678311637,45.0,0.0,236,WI,2015-11-01,Absolute lifetime-PD deterioration,0.0007585223334207606,148.08923292554897,164.00641020958386,143.7487391248655,0.021478228808984715
RM002392,2,149.60745456899025,273932.25,0.005333869049821287,0.0015567660995147248,0.0994364136599809,0.03004967914795531,25.0,0.0,235,CA,2015-10-01,Absolute lifetime-PD deterioration,0.0005461476498987989,148.15070071128605,162.61117307590527,144.1960640375607,0.0201525850743657
RM001334,2,149.28739778228208,270180.61,0.004966221551701969,0.0015244191822689382,0.09138874500742189,0.028940425786745716,35.0,0.0,231,CA,2015-06-01,Absolute lifetime-PD deterioration,0.0005525466752861432,147.7181545958649,163.2690951976462,143.4758023527367,0.020801582509553468
RM002925,2,148.82964731728597,307523.55,0.004560503979645188,0.0014891536393810206,0.08632099054151265,0.029003781105295667,39.0,0.0,237,MD,2015-12-01,Absolute lifetime-PD deterioration,0.0004839617886736999,147.36599954382447,161.88682747181335,143.39810052447092,0.0202640644503139
RM000304,2,148.76979258403574,251065.49,0.005838244393666666,0.0016764183949042573,0.10484981618185663,0.03124046832384364,49.0,0.0,227,ND,2015-02-01,Prior default history,0.0005925537300408581,147.3702930052219,161.2769251979049,143.56129907972968,0.020036981826081785
RM001186,2,148.5802005355519,155471.37,0.0035181144011783233,0.001179067567463916,0.06531847165444882,0.022358390222687152,26.0,0.0,230,MO,2015-05-01,Absolute lifetime-PD deterioration,0.000955675636842667,146.87050110299322,163.80020162774332,142.25730333634928,0.036322877894880805
RM000763,2,147.70611670450273,267768.18,0.005522382503789379,0.0013485977541644201,0.1002852688592788,0.025424326785688733,40.0,0.0,229,TX,2015-04-01,Absolute lifetime-PD deterioration,0.0005516193772706777,146.3155304013863,160.13592514382523,142.52922095916605,0.02
RM001073,2,147.55766758463892,256329.66,0.004504380863857814,0.001782322305126668,0.0832360047345323,0.033757379365829676,47.0,0.0,231,MA,2015-06-01,Prior default history,0.0005756558471799125,145.9789444773922,161.61661126116013,141.7158367075391,0.021553559580733496
RM000742,2,147.158933861783,199257.73,0.006992151803004571,0.0016790411592448842,0.09409305344038721,0.02338851798869712,32.0,0.0,169,NY,2015-04-01,Absolute lifetime-PD deterioration,0.0007385356335324255,145.44511049687188,162.41737979130204,140.81961544436103,0.021738885841329877
RM001836,2,146.65592162949974,235274.45,0.00350298948234688,0.0019197330204084684,0.06586637953281516,0.036623175333811986,58.0446833881579,0.0,233,NJ,2015-08-01,Prior default history,0.000623339770338427,144.95208855932353,161.81257787668477,140.362227602525,0.025335524089474072
RM000418,2,146.51787221700994,441884.83,0.0033173085910772567,0.0007977055101356789,0.061181996551620044,0.015048081870398411,29.0,0.0,228,NJ,2015-03-01,Absolute lifetime-PD deterioration,0.00033157479567019743,145.121663682013,158.98989203172428,141.3254756581898,0.02
RM003184,2,146.4851165437468,270406.86,0.005140787040955043,0.0011800857549001465,0.09717082573053681,0.023146761778213953,41.0,0.0,238,NY,2016-01-01,Absolute lifetime-PD deterioration,0.000541721155091061,145.07422888797228,159.07949808202153,141.24404547980063,0.020175368735000778
RM003414,2,145.93877229661814,159941.46,0.008618551871274055,0.0020534040066353845,0.15713978298915654,0.03978342772155752,42.0,0.0,237,CA,2015-12-01,Absolute lifetime-PD deterioration,0.00091245116992566,144.45629632945398,159.1619717402302,140.43866891834287,0.02048114183893105
RM000190,2,145.8586736284712,400602.5,0.0036070611869891624,0.0009863795402015154,0.06635412740655422,0.018575764021587227,42.0,0.0,228,CT,2015-03-01,Absolute lifetime-PD deterioration,0.00036409826106544816,144.48056598277077,158.17160711397278,140.73183445659438,0.02
RM001994,2,145.18482394642817,89189.76,0.01350358021558627,0.003688574652712116,0.23288140169170513,0.0695251086183929,42.0,0.0,234,IL,2015-09-01,Absolute lifetime-PD deterioration,0.0016278194262035034,143.6337132984472,159.01947374503297,139.43058574498272,0.021471444533337453
RM003120,2,144.92344588706803,142345.83,0.008297208339725694,0.002527111833218053,0.1517276098240169,0.04874549106871007,39.0,0.0,237,OR,2015-12-01,Absolute lifetime-PD deterioration,0.0010181081236244718,143.3554885590963,158.89387320077446,139.11648652937345,0.021533872275228905
RM000651,2,144.88396079495442,71649.05,0.02769557397164302,0.0015096592343361362,0.10835378011832464,0.006150109839983098,20.0,0.0,49,NJ,2015-04-01,Absolute lifetime-PD deterioration,0.002022133730942063,142.5742312257047,165.3966093269329,136.37502014050727,0.031113013366404742
RM003401,2,144.67632577228528,168662.63,0.005959517449332251,0.002649129535615402,0.11090792384810977,0.05083125138033906,33.0,0.0,236,NJ,2015-11-01,Prior default history,0.0008577853065156477,143.08953690435987,158.81003971588484,138.80266230722316,0.022840523812482288
RM002052,2,144.5800169478141,322878.74,0.004481821776994821,0.001054128900118808,0.0842082451086148,0.020442407685634434,27.0,0.0,235,AZ,2015-10-01,Absolute lifetime-PD deterioration,0.0004477842577923034,143.21264655291384,156.79810035998418,139.49239094992564,0.02
RM001121,2,144.4551491591946,176897.75,0.0034156335797059802,0.0006121482243550735,0.1158895548811153,0.021802888631967,60.0,0.0,432,IL,2015-06-01,Prior default history,0.0008166025241089533,142.97325970504832,157.66040236759852,138.96580515937063,0.023744572792385458
